,Unnamed: 0,設備#,任務位置,MAC#
0,0,A1,駕駛,54:6c:0e:d0:32:e0
1,1,A2,車長,54:6c:0e:d0:34:51
2,2,A3,砲手,54:6c:0e:d0:3b:9f
3,3,A4,步兵1,54:6c:0e:d0:32:ac
4,4,A5,步兵2,54:6c:0e:d0:32:95
5,5,A6,步兵3,54:6c:0e:d0:3d:59
6,6,A7,步兵4,54:6c:0e:d0:32:ca
7,7,A8,步兵5,54:6c:0e:d0:3d:1a
8,8,A9,步兵6,54:6c:0e:d0:32:fd
9,9,B1,駕駛,54:6c:0e:d0:3b:cc
10,10,B2,車長,54:6c:0e:d0:3b:ec
11,11,B3,砲手,54:6c:0e:d0:34:1a
12,12,B4,步兵1,54:6c:0e:d0:3d:10
13,13,B5,步兵2,54:6c:0e:d0:3d:3c
14,14,B6,步兵3,54:6c:0e:d0:3d:45
15,15,B7,步兵4,54:6c:0e:d0:3b:9f
16,16,B8,步兵5,54:6c:0e:d0:3d:3a
17,17,B9,步兵6,54:6c:0e:d0:32:9c
18,18,C1,駕駛,54:6c:0e:d0:34:78
19,19,C2,車長,54:6c:0e:d0:32:80
20,20,C3,砲手,54:6c:0e:d0:32:8a
21,21,C4,步兵1,54:6c:0e:d0:32:b6
22,22,C5,步兵2,54:6c:0e:d0:34:35
23,23,C6,步兵3,54:6c:0e:d0:34:78
24,24,C7,步兵4,54:6c:0e:d0:34:1e
25,25,C8,步兵5,54:6c:0e:d0:3b:a2
26,26,C9,步兵6,54:6c:0e:d0:3b:ab
