,macid,tt,hr,br,temp,local
0,54:6c:0e:d0:34:28,2021-11-19 20:57:52,0,0,0,c003
1,54:6c:0e:d0:34:28,2021-11-19 20:57:53,0,0,0,c003
2,54:6c:0e:d0:34:28,2021-11-19 20:57:54,0,0,0,c003
3,54:6c:0e:d0:34:28,2021-11-19 20:57:55,0,0,0,c003
4,54:6c:0e:d0:34:28,2021-11-19 20:57:56,0,0,2806,c003
5,54:6c:0e:d0:34:28,2021-11-19 20:57:57,0,0,2807,c003
6,54:6c:0e:d0:34:28,2021-11-19 20:57:58,0,0,2807,c003
7,54:6c:0e:d0:34:28,2021-11-19 20:57:59,0,0,2808,c003
8,54:6c:0e:d0:34:28,2021-11-19 20:58:00,0,0,2809,c003
9,54:6c:0e:d0:34:28,2021-11-19 20:58:01,0,0,2811,c003
10,54:6c:0e:d0:34:28,2021-11-19 20:58:02,0,0,2811,c003
11,54:6c:0e:d0:34:28,2021-11-19 20:58:03,0,0,2813,c003
12,54:6c:0e:d0:34:28,2021-11-19 20:58:04,0,0,2813,c003
13,54:6c:0e:d0:34:28,2021-11-19 20:58:05,0,0,2815,c003
14,54:6c:0e:d0:34:28,2021-11-19 20:58:06,0,0,2816,c003
15,54:6c:0e:d0:34:28,2021-11-19 20:58:07,0,0,2817,c003
16,54:6c:0e:d0:34:28,2021-11-19 20:58:08,0,0,2818,c003
17,54:6c:0e:d0:34:28,2021-11-19 20:58:09,0,0,2819,c003
18,54:6c:0e:d0:34:28,2021-11-19 20:58:10,0,0,2819,c003
19,54:6c:0e:d0:34:28,2021-11-19 20:58:11,0,0,2821,c003
20,54:6c:0e:d0:34:28,2021-11-19 20:58:12,0,0,2822,c003
21,54:6c:0e:d0:34:28,2021-11-19 20:58:13,0,0,2823,c003
22,54:6c:0e:d0:34:28,2021-11-19 20:58:14,0,0,2824,c003
23,54:6c:0e:d0:34:28,2021-11-19 20:58:15,0,0,2824,c003
24,54:6c:0e:d0:34:28,2021-11-19 20:58:16,0,0,2825,c003
25,54:6c:0e:d0:34:28,2021-11-19 20:58:17,0,0,2826,c003
26,54:6c:0e:d0:34:28,2021-11-19 20:58:18,0,0,2827,c003
27,54:6c:0e:d0:34:28,2021-11-19 20:58:19,0,0,2827,c003
28,54:6c:0e:d0:34:28,2021-11-19 20:58:20,0,0,2828,c003
29,54:6c:0e:d0:34:28,2021-11-19 20:58:21,0,0,2828,c003
30,54:6c:0e:d0:34:28,2021-11-19 20:58:22,0,0,2829,c003
31,54:6c:0e:d0:34:28,2021-11-19 20:58:23,0,0,2829,c003
32,54:6c:0e:d0:34:28,2021-11-19 20:58:24,0,0,2829,c003
33,54:6c:0e:d0:34:28,2021-11-19 20:58:25,0,0,2830,c003
34,54:6c:0e:d0:34:28,2021-11-19 20:58:26,0,0,2830,c003
35,54:6c:0e:d0:34:28,2021-11-19 20:58:27,0,0,2831,c003
36,54:6c:0e:d0:34:28,2021-11-19 20:58:28,0,0,2830,c003
37,54:6c:0e:d0:34:28,2021-11-19 20:58:29,0,0,2831,c003
38,54:6c:0e:d0:34:28,2021-11-19 20:58:30,0,0,2831,c003
39,54:6c:0e:d0:34:28,2021-11-19 20:58:31,0,0,2831,c003
40,54:6c:0e:d0:34:28,2021-11-19 20:58:32,0,0,2831,c003
41,54:6c:0e:d0:34:28,2021-11-19 20:58:33,0,0,2832,c003
42,54:6c:0e:d0:34:28,2021-11-19 20:58:34,0,0,2832,c003
43,54:6c:0e:d0:34:28,2021-11-19 20:58:35,0,0,2831,c003
44,54:6c:0e:d0:34:28,2021-11-19 20:58:36,0,0,2832,c003
45,54:6c:0e:d0:34:28,2021-11-19 20:58:37,0,0,2832,c003
46,54:6c:0e:d0:34:28,2021-11-19 20:58:38,0,0,2832,c003
47,54:6c:0e:d0:34:28,2021-11-19 20:58:39,0,0,2833,c003
48,54:6c:0e:d0:34:28,2021-11-19 20:58:40,0,0,2833,c003
49,54:6c:0e:d0:34:28,2021-11-19 20:58:41,0,0,2833,c003
50,54:6c:0e:d0:34:28,2021-11-19 20:58:42,80,0,2833,c003
51,54:6c:0e:d0:34:28,2021-11-19 20:58:43,80,0,2835,c003
52,54:6c:0e:d0:34:28,2021-11-19 20:58:44,74,0,2834,c003
53,54:6c:0e:d0:34:28,2021-11-19 20:58:45,71,0,2835,c003
54,54:6c:0e:d0:34:28,2021-11-19 20:58:46,82,0,2835,c003
55,54:6c:0e:d0:34:28,2021-11-19 20:58:47,82,0,2836,c003
56,54:6c:0e:d0:34:28,2021-11-19 20:58:48,82,0,2836,c003
57,54:6c:0e:d0:34:28,2021-11-19 20:58:49,82,0,2836,c003
58,54:6c:0e:d0:34:28,2021-11-19 20:58:50,85,0,2837,c003
59,54:6c:0e:d0:34:28,2021-11-19 20:58:51,85,0,2837,c003
60,54:6c:0e:d0:34:28,2021-11-19 20:58:52,85,0,2838,c003
61,54:6c:0e:d0:34:28,2021-11-19 20:58:53,85,0,2839,c003
62,54:6c:0e:d0:34:28,2021-11-19 20:58:54,85,0,2840,c003
63,54:6c:0e:d0:34:28,2021-11-19 20:58:55,85,0,2841,c003
64,54:6c:0e:d0:34:28,2021-11-19 20:58:56,85,0,2843,c003
65,54:6c:0e:d0:34:28,2021-11-19 20:58:57,85,0,2844,c003
66,54:6c:0e:d0:34:28,2021-11-19 20:58:58,85,0,2845,c003
67,54:6c:0e:d0:34:28,2021-11-19 20:58:59,85,0,2847,c003
68,54:6c:0e:d0:34:28,2021-11-19 20:59:00,85,0,2848,c003
69,54:6c:0e:d0:34:28,2021-11-19 20:59:01,85,0,2849,c003
70,54:6c:0e:d0:34:28,2021-11-19 20:59:02,85,0,2851,c003
71,54:6c:0e:d0:34:28,2021-11-19 20:59:03,85,0,2852,c003
72,54:6c:0e:d0:34:28,2021-11-19 20:59:04,85,0,2853,c003
73,54:6c:0e:d0:34:28,2021-11-19 20:59:05,85,0,2855,c003
74,54:6c:0e:d0:34:28,2021-11-19 20:59:06,85,0,2855,c003
75,54:6c:0e:d0:34:28,2021-11-19 20:59:07,85,0,2856,c003
76,54:6c:0e:d0:34:28,2021-11-19 20:59:08,85,0,2857,c003
77,54:6c:0e:d0:34:28,2021-11-19 20:59:09,85,0,2858,c003
78,54:6c:0e:d0:34:28,2021-11-19 20:59:10,85,0,2859,c003
79,54:6c:0e:d0:34:28,2021-11-19 20:59:11,85,0,2859,c003
80,54:6c:0e:d0:34:28,2021-11-19 20:59:12,85,0,2860,c003
